傲岸不群	aabq
爱国人士	agru
奥古斯塔	agst
熬更守夜	agsy
哀感天地	agtd
熬更守夜	aguy
阿甘正传	agvi
爱国之心	agvx
爱国主义	agvy
哀感顽艳	agwy
岸谷之变	agzb
阿甘正传	agzc
哀感中年	agzn
安故重迁	agzq
爱国之心	agzx
爱国主义	agzy
哀鸿遍地	ahbd
哀鸿遍野	ahby
安魂定魄	ahdp
哀毁骨立	ahgl
爱恨交加	ahjj
哀毁瘠立	ahjl
爱恨交织	ahjv
爱恨交织	ahjz
爱鹤失众	ahsz
懊悔无及	ahwj
黯晦消沉	ahxc
暗潮汹涌	aixy
挨家挨户	ajah
安静安静	ajaj
挨肩并足	ajbz
挨肩擦背	ajcb
挨肩擦膀	ajcb
挨肩擦脸	ajcl
案剑瞋目	ajcm
挨肩搭背	ajdb
挨肩迭背	ajdb
挨肩叠背	ajdb
阿娇金屋	ajjw
安家落户	ajlh
安家立业	ajly
安居乐业	ajly
安家乐业	ajly
阿基米德	ajmd
暗箭明枪	ajmq
暗箭难防	ajnf
按甲寝兵	ajqb
暗箭伤人	ajsr
暗箭伤人	ajur
安家置业	ajvy
按甲休兵	ajxb
案甲休兵	ajxb
熬姜呷醋	ajxc
暗礁险滩	ajxt
按迹循踪	ajxz
暗箭中人	ajzr
安家置业	ajzy
爱看不看	akbk
熬枯受淡	aksd
碍口识羞	aksx
阿里巴巴	albb
爱理不理	albl
安良除暴	alcb
爱礼存羊	alcy
鳌里夺尊	aldz
按劳分配	alfp
安老怀少	alhs
按理来说	alls
按理来说	allu
奥林匹克	alpk
奥林匹亚	alpy
按劳取酬	alqc
按劳取酬	alqi
阿拉斯加	alsj
暗绿稀红	alxh
暗流涌动	alyd
哀梨蒸食	alzs
阿猫阿狗	amag
挨门挨户	amah
按摩按摩	amam
暧昧不明	ambm
傲慢不逊	ambx
鳌鸣鳖应	amby
安眉带眼	amdy
爱毛反裘	amfq
安民告示	amgs
鞍马劳顿	amld
鞍马劳倦	amlj
鞍马劳困	amlk
鞍马劳神	amls
爱莫能助	amnv
爱莫能助	amnz
爱民如子	amrz
傲慢少礼	amsl
挨门逐户	amvh
爱美之心	amvx
傲慢无礼	amwl
奥妙无穷	amwq
爱慕虚荣	amxr
挨门逐户	amzh
鞍马之劳	amzl
暧昧之情	amzq
按名责实	amzs
暗昧之事	amzs
爱美之心	amzx
爱莫之助	amzz
按捺不住	anbv
懊恼不已	anby
按捺不住	anbz
碍难从命	ancm
傲睨得志	andz
安内攘外	anrw
傲睨万物	anww
傲睨一切	anyq
傲睨一世	anys
傲睨自若	anzr
安排安排	apap
阿毗地狱	apdy
阿平绝倒	apjd
安贫乐道	apld
安贫乐贱	aplj
安贫守道	apsd
按辔徐行	apxx
暗气暗恼	aqan
哀其不幸	aqbx
安全第一	aqdy
鞍前马后	aqmh
安全起见	aqqj
爱钱如命	aqrm
熬清守淡	aqsd
熬清受淡	aqsd
熬清守谈	aqst
安全系数	aqxs
安全系数	aqxu
岸然道貌	ardm
矮人观场	argc
爱人好士	arhs
爱如己出	arjc
矮人看场	arkc
蔼然可亲	arkq
矮人看戏	arkx
爱人利物	arlw
安如磐石	arps
安如盘石	arps
安然如故	arrg
安然入眠	arrm
安然入睡	arrs
安然入睡	arru
蔼然仁者	arrz
黯然神伤	arss
黯然失色	arss
黯然伤神	arss
傲然挺立	artl
安如泰山	arts
安如太山	arts
安若泰山	arts
安如泰山	artu
黯然失色	arus
黯然神伤	aruu
暗弱无断	arwd
安忍无亲	arwq
安然无事	arws
黯然无色	arws
安然无事	arwu
安然无恙	arwy
黯然销魂	arxh
爱日惜力	arxl
爱人以德	aryd
傲然屹立	aryl
爱如珍宝	arzb
昂然自得	arzd
安然自若	arzr
昂然直入	arzr
昂然自若	arzr
碍手碍脚	asaj
安守本分	asbf
阿塞拜疆	asbj
暗室不欺	asbq
爱说不说	asbs
安时处顺	ascs
安神定魄	asdp
捱三顶四	asds
挨三顶五	asdw
捱三顶五	asdw
傲霜斗雪	asdx
暗室逢灯	asfd
安生服业	asfy
爱素好古	ashg
哀丝豪竹	ashz
爱斯基摩	asjm
昂首阔步	askb
暗室亏心	askx
安室利处	aslc
安身立命	aslm
安身乐业	asly
安生乐业	asly
阿斯马拉	asml
爱沙尼亚	asny
阿司匹林	aspl
暗送秋波	asqb
阿时趋俗	asqs
暗室求物	asqw
傲世轻物	asqw
敖世轻物	asqw
傲视群雄	asqx
暗室欺心	asqx
哀思如潮	asrc
安适如常	asrc
挨山塞海	assh
昂首伸眉	assm
暗室私心	assx
阿斯塔纳	astn
唉声叹气	astq
哀声叹气	astq
嗳声叹气	astq
昂首天外	astw
昂首挺胸	astx
安身为乐	aswl
暗室屋漏	aswl
爱生恶死	asws
昂首望天	aswt
安身之处	aszc
安身之地	aszd
安史之乱	aszl
安身之所	aszs
傲头傲脑	atan
凹凸不平	atbp
鳌头独占	atdz
哀天叫地	atjd
昂头阔步	atkb
暗通款曲	atkq
安土乐业	atly
按图索骥	atsj
按图索骏	atsj
昂头天外	attw
昂头挺胸	attx
安土重迁	atvq
哀痛欲绝	atyj
凹凸有致	atyv
凹凸有致	atyz
安土重旧	atzj
安土重居	atzj
安土重迁	atzq
碍手碍脚	auaj
安守本分	aubf
爱说不说	aubu
安神定魄	audp
昂首阔步	aukb
暗室亏心	aukx
安身立命	aulm
爱沙尼亚	auny
傲视群雄	auqx
唉声叹气	autq
昂首挺胸	autx
安身之地	auvd
安身之处	auvi
安史之乱	auvl
安身之所	auvs
爱生恶死	auws
昂首望天	auwt
安枕而卧	avew
安知非福	avff
安知非祸	avfh
安装目录	avml
暗中摸索	avms
安之若素	avrs
安枕无忧	avwy
安慰安慰	awaw
爱屋及乌	awjw
案无留牍	awld
暗无天日	awtr
安危相易	awxy
安危与共	awyg
爱信不信	axbx
暗箱操作	axcz
安心定志	axdz
熬心费力	axfl
按需分配	axfp
爱新觉罗	axjl
暗下决心	axjx
傲雪凌霜	axls
安心乐意	axly
安心乐业	axly
安心落意	axly
傲贤慢士	axms
傲雪欺霜	axqs
昂霄耸壑	axsh
暗香疏影	axsy
暗香疏影	axuy
安享晚年	axwn
爱惜羽毛	axym
安闲自得	axzd
遨翔自得	axzd
按行自抑	axzy
安闲自在	axzz
熬油费火	ayfh
安于故俗	aygs
聱牙戟口	ayjk
聱牙佶屈	ayjq
聱牙诘曲	ayjq
聱牙诘屈	ayjq
安于盘石	ayps
爱因斯坦	ayst
安营扎寨	ayvv
盎盂相击	ayxj
盎盂相敲	ayxq
安于现状	ayxv
安于现状	ayxz
安营下寨	ayxz
奥援有灵	ayyl
安于一隅	ayyy
安营扎寨	ayzz
碍足碍手	azas
安坐待毙	azdb
安枕而卧	azew
安知非福	azff
安知非祸	azfh
爱憎分明	azfm
矮子观场	azgc
鳌掷鲸呿	azjq
鳌掷鲸吞	azjt
矮子看戏	azkx
安装目录	azml
暗中摸索	azms
腌臜泼才	azpc
暗自庆幸	azqx
安之若命	azrm
安之若素	azrs
安枕无忧	azwy
爱咋咋地	azzd
安宅正路	azzl
不按常理	bacl
北爱尔兰	bael
不安好心	bahx
不按常理	bail
不安其室	baqs
不安于室	bays
不安于位	bayw
不卑不亢	bbbk
百病不侵	bbbq
褒贬不一	bbby
百病缠身	bbcs
百弊丛生	bbcs
百步穿杨	bbcy
蚌病成珠	bbcz
斑斑点点	bbdd
步步登高	bbdg
并不多见	bbdj
不必多礼	bbdl
百般刁难	bbdn
巴巴多斯	bbds
包办代替	bbdt
不必当真	bbdv
逼不得已	bbdy
不必当真	bbdz
百般奉承	bbfc
百般奉承	bbfi
报本反始	bbfs
百般抚慰	bbfw
不避斧钺	bbfy
八百孤寒	bbgh
步步高升	bbgs
报冰公事	bbgs
步步高升	bbgu
比比划划	bbhh
包办婚姻	bbhy
百病缠身	bbiu
百步穿杨	bbiy
步步紧逼	bbjb
白白净净	bbjj
巴巴急急	bbjj
巴巴劫劫	bbjj
巴巴结结	bbjj
变本加厉	bbjl
比比皆是	bbjs
半壁江山	bbjs
比比皆是	bbju
标本兼治	bbjv
步步惊心	bbjx
标本兼治	bbjz
必不可缺	bbkq
必不可少	bbks
必不可少	bbku
白白浪费	bblf
步步莲花	bblh
冰冰凉凉	bbll
斑驳陆离	bbll
半部论语	bbly
笔饱墨酣	bbmh
爸爸妈妈	bbmm
抱布贸丝	bbms
必不挠北	bbnb
别不耐烦	bbnf
白白嫩嫩	bbnn
白白胖胖	bbpp
彪炳千古	bbqg
跛鳖千里	bbql
背本趋末	bbqm
不变其文	bbqw
白璧青蝇	bbqy
把臂入林	bbrl
并不认为	bbrw
并不容易	bbry
彪炳史册	bbsc
勃勃生机	bbsj
步步生莲	bbsl
帮不上忙	bbsm
不辨菽麦	bbsm
并不是说	bbss
布帛菽粟	bbss
白璧三献	bbsx
拔本塞源	bbsy
百不失一	bbsy
百不随一	bbsy
蹦蹦跳跳	bbtt
彪炳史册	bbuc
勃勃生机	bbuj
步步生莲	bbul
帮不上忙	bbum
并不是说	bbuu
并不知道	bbvd
八拜之交	bbvj
百般折磨	bbvm
不辨真伪	bbvw
不白之冤	bbvy
卑鄙无耻	bbwc
卑鄙龌龊	bbwc
卑鄙无耻	bbwi
被逼无奈	bbwn
并不完全	bbwq
布被瓦器	bbwq
病病歪歪	bbww
白璧微瑕	bbwx
白璧无瑕	bbwx
步步为营	bbwy
兵不血刃	bbxr
并不需要	bbxy
百不一存	bbyc
并不一定	bbyd
饱饱眼福	bbyf
兵不由将	bbyj
彬彬有礼	bbyl
兵不厌诈	bbyv
并不意外	bbyw
不必言谢	bbyx
兵不厌诈	bbyz
并不知道	bbzd
八拜之交	bbzj
百般折磨	bbzm
百般阻挠	bbzn
悲不自胜	bbzs
秉笔直书	bbzs
不辨真伪	bbzw
不白之冤	bbzy
不必在意	bbzy
不拔之志	bbzz
白白朱朱	bbzz
不瞅不睬	bcbc
把持不定	bcbd
不茶不饭	bcbf
罢黜百家	bcbj
匕鬯不惊	bcbj
不痴不聋	bcbl
不吵不闹	bcbn
半筹不纳	bcbn
百吃不厌	bcby
把持不住	bcbz
彼倡此和	bcch
拔萃出群	bccq
悲愁垂涕	bcct
必成大器	bcdq
搬唇递舌	bcds
不辞而别	bceb
不测风云	bcfy
不成方圆	bcfy
百川归海	bcgh
本草纲目	bcgm
百尺竿头	bcgt
不差毫发	bchf
不差毫厘	bchl
包藏祸心	bchx
白草黄云	bchy
不存芥蒂	bcjd
剥床及肤	bcjf
备尝艰苦	bcjk
不成敬意	bcjy
背城借一	bcjy
别出机杼	bcjz
病从口入	bckr
不辞劳苦	bclk
八窗玲珑	bcll
弊车羸马	bclm
不差累黍	bcls
百辞莫辩	bcmb
鞭长莫及	bcmj
不揣冒昧	bcmm
白齿青眉	bcqm
便辞巧说	bcqs
不成其为	bcqw
薄唇轻言	bcqy
必承其重	bcqz
不出所料	bcsl
蔽聪塞明	bcsm
抱残守缺	bcsq
悲春伤秋	bcsq
不成三瓦	bcsw
不差上下	bcsx
抱诚守真	bcsz
不成体统	bctt
不啻天渊	bcty
抱残守缺	bcuq
辩才无碍	bcwa
博茨瓦纳	bcwn
不成问题	bcwt
别出心裁	bcxc
报仇雪恨	bcxh
备尝辛苦	bcxk
拨草寻蛇	bcxs
不耻下问	bcxw
饱餐一顿	bcyd
不齿于人	bcyr
抱成一团	bcyt
不出意外	bcyw
背城一战	bcyz
卑辞重币	bczb
博采众长	bczc
卑谄足恭	bczg
不耻最后	bczh
兵车之会	bczh
不传之秘	bczm
不次之迁	bczq
不逞之徒	bczt
不臣之心	bczx
不得安宁	bdan
不得不服	bdbf
宝刀不老	bdbl
百毒不侵	bdbq
不大不小	bdbx
百读不厌	bdby
拔丁抽楔	bdcx
百端待举	bddj
不登大雅	bddy
背道而驰	bdec
背道而驰	bdei
倍道而进	bdej
拔地而起	bdeq
不得而知	bdev
不得而知	bdez
并蒂芙蓉	bdfr
百代过客	bdgk
不得好死	bdhs
霸道横行	bdhx
白底黑字	bdhz
兵多将广	bdjg
博大精深	bdjs
不懂就问	bdjw
百堵皆作	bdjz
遍地开花	bdkh
不大可能	bdkn
北达科他	bdkt
不打诳语	bdky
备多力分	bdlf
布达拉宫	bdlg
不得了了	bdll
不达目的	bdmd
表达能力	bdnl
布达佩斯	bdps
不得其法	bdqf
不得其所	bdqs
北斗七星	bdqx
笔大如椽	bdrc
不动如山	bdrs
不动如山	bdru
不得人心	bdrx
败德辱行	bdrx
不当人子	bdrz
冰冻三尺	bdsc
不待蓍龟	bdsg
冰冻三尺	bdsi
白丁俗客	bdsk
不动声色	bdss
不得善终	bdsz
拔得头筹	bdtc
不断提高	bdtg
拔得头筹	bdti
不动声色	bdus
不得善终	bduv
不懂装懂	bdvd
伯道无儿	bdwe
宝刀未老	bdwl
百代文宗	bdwz
拔刀相助	bdxv
北大西洋	bdxy
拔刀相助	bdxz
弊大于利	bdyl
不得要领	bdyl
拜倒辕门	bdym
笨得要死	bdys
拔地摇山	bdys
拔地倚天	bdyt
步调一致	bdyv
不得有误	bdyw
棒打鸳鸯	bdyy
步调一致	bdyz
兵多者败	bdzb
八斗之才	bdzc
不懂装懂	bdzd
北道主人	bdzr
不打自招	bdzv
不打自招	bdzz
北斗之尊	bdzz
避而不答	bebd
避而不见	bebj
博而不精	bebj
避而不谈	bebt
备而不用	beby
不二法门	befm
不二法则	befz
博而寡要	begy
白俄罗斯	bels
拜恩私室	bess
巴尔扎克	bevk
不二之选	bevx
背恩忘义	bewy
巴尔扎克	bezk
不二之选	bezx
不分彼此	bfbc
不悱不发	bfbf
不愤不启	bfbq
不丰不杀	bfbs
百发百中	bfbv
百发百中	bfbz
白发苍苍	bfcc
不法常可	bfck
不负此生	bfcs
抱法处势	bfcs
不负此生	bfcu
白发苍颜	bfcy
不复存在	bfcz
百废待举	bfdj
不复当年	bfdn
百废待兴	bfdx
八方风雨	bffy
不法分子	bffz
不分高下	bfgx
八方呼应	bfhy
白发红颜	bfhy
别风淮雨	bfhy
不废江河	bfjh
把饭叫饥	bfjj
百夫决拾	bfjs
百废俱兴	bfjx
暴风疾雨	bfjy
白费口舌	bfks
白费口舌	bfku
兵分两路	bfll
白费力气	bflq
白饭青刍	bfqc
不乏其人	bfqr
白发青衫	bfqs
白发青衫	bfqu
不分轻重	bfqv
不分轻重	bfqz
白发千丈	bfqz
不负韶华	bfsh
不伏烧埋	bfsm
不负所托	bfst
不服水土	bfst
悲愤填膺	bfty
不负韶华	bfuh
百分之百	bfvb
不法之徒	bfvt
不负众望	bfvw
百分之一	bfvy
变废为宝	bfwb
抃风舞润	bfwr
变法维新	bfwx
布帆无恙	bfwy
八府巡按	bfxa
白费心机	bfxj
不乏先例	bfxl
不分轩轾	bfxv
不法行为	bfxw
不分轩轾	bfxz
并非易事	bfys
并非易事	bfyu
笔锋一转	bfyv
不发一言	bfyy
笔锋一转	bfyz
百分之百	bfzb
不分皂白	bfzb
八方支持	bfzc
北风之恋	bfzl
不负责任	bfzr
不法之徒	bfzt
剥肤之痛	bfzt
不负众望	bfzw
百分之一	bfzy
暴风骤雨	bfzy
捕风捉影	bfzy
不分畛域	bfzy
八方支援	bfzy
不扶自直	bfzz
保国安民	bgam
笔耕不辍	bgbc
半工半读	bgbd
不管不顾	bgbg
不尴不尬	bgbg
笔耕不辍	bgbi
不干不净	bgbj
必恭必敬	bgbj
毕恭毕敬	bgbj
不古不今	bgbj
包工包料	bgbl
秉公办理	bgbl
不管不问	bgbw
不甘雌伏	bgcf
不共戴天	bgdt
半个多月	bgdy
不过尔尔	bgee
不告而取	bgeq
不敢告劳	bggl
不敢高攀	bggp
不敢苟同	bggt
不甘后人	bghr
不敢或忘	bghw
杯觥交错	bgjc
百感交集	bgjj
不甘寂寞	bgjm
抱关击柝	bgjt
伯歌季舞	bgjw
不关紧要	bgjy
不甘落后	bglh
八国联军	bglj
波光粼粼	bgll
不敢掠美	bglm
布鼓雷门	bglm
傍观冷眼	bgly
不敢旁骛	bgpw
不改其乐	bgql
闭关却扫	bgqs
卑躬屈膝	bgqx
不过如此	bgrc
闭关锁国	bgsg
半个世纪	bgsj
不甘示弱	bgsr
兵贵神速	bgss
八公山上	bgss
敝鼓丧豚	bgst
杯弓蛇影	bgsy
补过拾遗	bgsy
不敢擅专	bgsz
博古通今	bgtj
不关痛痒	bgty
半个世纪	bguj
不甘示弱	bgur
兵贵神速	bgus
不敢擅专	bguv
杯弓蛇影	bguy
秉公执法	bgvf
百舸争流	bgvl
半个钟头	bgvt
悲观主义	bgvy
不敢问津	bgwj
别跟我说	bgws
巴高望上	bgws
秉公无私	bgws
别跟我说	bgwu
报告文学	bgwx
不敢妄言	bgwy
不感兴趣	bgxq
半个小时	bgxs
兵贵先声	bgxs
半个小时	bgxu
不敢相信	bgxx
变古易常	bgyc
北宫婴儿	bgye
不顾一切	bgyq
不够意思	bgys
稗官野史	bgys
笔耕砚田	bgyt
不苟言笑	bgyx
不敢造次	bgzc
白圭之玷	bgzd
巴高枝儿	bgze
秉公执法	bgzf
百舸争流	bgzl
病骨支离	bgzl
不根之论	bgzl
不攻自破	bgzp
败鼓之皮	bgzp
闭关自守	bgzs
半个钟头	bgzt
不轨之徒	bgzt
闭关自守	bgzu
悲观主义	bgzy
不哼不哈	bhbh
陂湖禀量	bhbl
帮虎吃食	bhcs
变化多端	bhdd
闭户读书	bhds
不寒而栗	bhel
不欢而散	bhes
白黑分明	bhfm
别鹤孤鸾	bhgl
白虹贯日	bhgr
抱恨黄泉	bhhq
避祸就福	bhjf
避害就利	bhjl
悲欢离合	bhlh
变化莫测	bhmc
变幻莫测	bhmc
兵荒马乱	bhml
暴虎冯河	bhph
百花齐放	bhqf
百卉千葩	bhqp
碧海青天	bhqt
冰壶秋月	bhqy
傍花随柳	bhsl
百花生日	bhsr
不合时宜	bhsy
八纮同轨	bhtg
变化无常	bhwc
变幻无常	bhwc
变化无穷	bhwq
冰魂雪魄	bhxp
冰寒于水	bhys
不讳之门	bhzm
不惑之年	bhzn
薄寒中人	bhzr
抱恨终天	bhzt
八荒之外	bhzw
白华之怨	bhzy
跋扈自恣	bhzz
罢黜百家	bibj
不吵不闹	bibn
把持不住	bibv
百吃不厌	biby
必成大器	bidq
不成方圆	bify
百川归海	bigh
百尺竿头	bigt
不差毫厘	bihl
别出机杼	bijv
不成敬意	bijy
鞭长莫及	bimj
必承其重	biqv
不成其为	biqw
不出所料	bisl
不成体统	bitt
悲春伤秋	biuq
不差上下	biux
不传之秘	bivm
不成问题	biwt
别出心裁	bixc
报仇雪恨	bixh
不耻下问	bixw
不齿于人	biyr
抱成一团	biyt
不出意外	biyw
不耻最后	bizh
不矜不伐	bjbf
不今不古	bjbg
包教包会	bjbh
半间不界	bjbj
半斤八两	bjbl
搬斤播两	bjbl
不即不离	bjbl
百举百全	bjbq
比肩并起	bjbq
不见不散	bjbs
不稼不穑	bjbs
不疾不徐	bjbx
不骄不躁	bjbz
把酒持螯	bjca
边际成本	bjcb
饱经沧桑	bjcs
班荆道故	bjdg
不计代价	bjdj
不记得了	bjdl
不减当年	bjdn
冰解冻释	bjds
八九点钟	bjdv
北京大学	bjdx
八九点钟	bjdz
飙举电至	bjdz
贝加尔湖	bjeh
比肩而立	bjel
不教而杀	bjes
不教而诛	bjev
比较而言	bjey
不教而诛	bjez
不胫而走	bjez
别具肺肠	bjfc
拜将封侯	bjfh
擘肌分理	bjfl
不解风情	bjfq
弊绝风清	bjfq
饱经风霜	bjfs
不进反退	bjft
饱经风霜	bjfu
苞苴竿牍	bjgd
杯酒戈矛	bjgm
八九个人	bjgr
白驹过隙	bjgx
八九个月	bjgy
不计后果	bjhg
保驾护航	bjhh
别具慧眼	bjhy
边际成本	bjib
八街九陌	bjjm
比肩接踵	bjjv
不咎既往	bjjw
别具匠心	bjjx
不觉技痒	bjjy
比肩接踵	bjjz
比肩继踵	bjjz
不见经传	bjjz
白驹空谷	bjkg
背井离乡	bjlx
保加利亚	bjly
兵精粮足	bjlz
不讲面子	bjmz
不拘泥于	bjny
百金求间	bjqj
不近情理	bjql
并驾齐驱	bjqq
不计其数	bjqs
比肩齐声	bjqs
不计其数	bjqu
不计前嫌	bjqx
不及其余	bjqy
不仅如此	bjrc
不绝如缕	bjrl
不近人情	bjrq
半截入土	bjrt
不尽人意	bjry
悲剧色彩	bjsc
不见森林	bjsl
八九十岁	bjss
不假思索	bjss
巴基斯坦	bjst
不见天日	bjtr
不见泰山	bjts
八九十岁	bjus
不羁之才	bjvc
必经之地	bjvd
败军之将	bjvj
必经之路	bjvl
百家争鸣	bjvm
不经之谈	bjvt
不解之缘	bjvy
不讲武德	bjwd
保家卫国	bjwg
不尽完美	bjwm
彼竭我盈	bjwy
冰肌雪肠	bjxc
不拘小节	bjxj
补苴罅漏	bjxl
保境息民	bjxm
不尽相同	bjxt
败局已定	bjyd
不绝于耳	bjye
八九月份	bjyf
别具一格	bjyg
冰肌玉骨	bjyg
波谲云诡	bjyg
不拘一格	bjyg
不久以后	bjyh
杯酒言欢	bjyh
包举宇内	bjyn
不讲义气	bjyq
不经一事	bjys
不见舆薪	bjyx
不羁之才	bjzc
必经之地	bjzd
不及之法	bjzf
败军之将	bjzj
不教之教	bjzj
必经之路	bjzl
百家争鸣	bjzm
不羁之民	bjzm
被坚执锐	bjzr
薄技在身	bjzs
不进则退	bjzt
不经之谈	bjzt
并肩作战	bjzv
不急之务	bjzw
不解之缘	bjzy
别具只眼	bjzy
并肩作战	bjzz
不亢不卑	bkbb
不可不防	bkbf
闭口不谈	bkbt
不可不知	bkbv
百看不厌	bkby
闭口不言	bkby
不可不知	bkbz
不愧不作	bkbz
闭口藏舌	bkcs
鼻孔朝天	bkct
不可多得	bkdd
不可端倪	bkdn
不可动摇	bkdy
拔葵啖枣	bkdz
不可遏制	bkev
不可遏制	bkez
不可否认	bkfr
不可改变	bkgb
不可估量	bkgl
不可告人	bkgr
不可或缺	bkhq
不堪回首	bkhs
不堪回首	bkhu
鼻孔朝天	bkit
不可兼得	bkjd
不可究诘	bkjj
不可教训	bkjx
不可救药	bkjy
不可揆度	bkkd
不可开交	bkkj
不可抗力	bkkl
避坑落井	bklj
不可理喻	bkly
百口莫辩	bkmb
不可磨灭	bkmm
播糠眯目	bkmm
不可名状	bkmv
不可名状	bkmz
不可能吧	bknb
不可能的	bknd
不可逆转	bknv
不可逆转	bknz
不可偏废	bkpf
百孔千疮	bkqc
不可侵犯	bkqf
不可企及	bkqj
不可缺少	bkqs
不可缺少	bkqu
不可全信	bkqx
不堪其忧	bkqy
拔葵去织	bkqz
不堪入耳	bkre
不堪入目	bkrm
碧空如洗	bkrx
宾客如云	bkry
别开生面	bksm
不可胜数	bkss
不可收拾	bkss
不堪设想	bksx
不可思议	bksy
不可胜言	bksy
不可推卸	bktx
别开生面	bkum
不堪设想	bkux
不可知论	bkvl
不可捉摸	bkvm
不可终日	bkvr
不可置信	bkvx
不愧屋漏	bkwl
不可外扬	bkwy
不可懈怠	bkxd
不可向迩	bkxe
不可限量	bkxl
不可小觑	bkxq
不可小视	bkxs
不可小视	bkxu
不可想象	bkxx
不可言传	bkyc
不可以的	bkyd
不快也光	bkyg
不可言传	bkyi
不堪一击	bkyj
不可以吗	bkym
不可一世	bkys
不可言状	bkyv
不可言宣	bkyx
不可逾越	bkyy
不可言喻	bkyy
不可移易	bkyy
不可言状	bkyz
不堪言状	bkyz
不可造次	bkzc
不堪造就	bkzj
不可知论	bkzl
不刊之论	bkzl
不可捉摸	bkzm
不可终日	bkzr
不可再生	bkzs
不可再生	bkzu
不可置信	bkzx
不理不睬	blbc
波澜不惊	blbj
不伦不类	blbl
百伶百俐	blbl
不离不弃	blbq
不冷不热	blbr
拔来报往	blbw
奔流不息	blbx
不郎不秀	blbx
表里不一	blby
不稂不莠	blby
百炼成钢	blcg
鬓乱钗横	blch
败柳残花	blch
半路出家	blcj
不吝赐教	blcj
败鳞残甲	blcj
必里迟离	blcl
拔类超群	blcq
比类从事	blcs
兵临城下	blcx
波罗的海	bldh
薄利多销	bldx
不劳而获	bleh
比邻而居	blej
别浪费了	blfl
不露锋芒	blfm
鄙吝复萌	blfm
不劣方头	blft
拨乱反正	blfv
不良反应	blfy
拨乱反正	blfz
不露圭角	blgj
卑礼厚币	blhb
不留痕迹	blhj
兵连祸结	blhj
碧落黄泉	blhq
百炼成钢	blig
鬓乱钗横	blih
半路出家	blij
兵临城下	blix
兵来将挡	bljd
濒临绝境	bljj
不良记录	bljl
步履艰难	bljn
本来就是	bljs
本来就是	blju
暴力抗法	blkf
不落窠臼	blkj
波澜老成	bllc
筚路蓝缕	blll
不了了之	bllv
不了了之	bllz
白蜡明经	blmj
本来面目	blmm
百龄眉寿	blms
摆龙门阵	blmv
摆龙门阵	blmz
步履蹒跚	blps
步履蹒跚	blpu
布里奇顿	blqd
百了千当	blqd
波澜起伏	blqf
不留情面	blqm
壁立千仞	blqr
博览群书	blqs
博览群书	blqu
髀里肉生	blrs
表里如一	blry
表里受敌	blsd
布鲁塞尔	blse
表里山河	blsh
抱令守律	blsl
不露声色	blss
巴勒斯坦	blst
拨乱视听	blst
壁垒森严	blsy
