aabq	傲岸不群
ajxt	暗礁险滩
ajxz	按迹循踪
ajvr	暗箭中人
akbk	爱看不看
akud	熬枯受淡
akux	碍口识羞
albb	阿里巴巴
albl	爱理不理
alib	安良除暴
alcy	爱礼存羊
aldz	鳌里夺尊
alfp	按劳分配
alhu	安老怀少
allu	按理来说
alpk	奥林匹克
alpy	奥林匹亚
alqi	按劳取酬
alsj	阿拉斯加
alxh	暗绿稀红
alyd	暗流涌动
alvu	哀梨蒸食
amag	阿猫阿狗
amah	挨门挨户
amam	按摩按摩
ambm	暧昧不明
ambx	傲慢不逊
amby	鳌鸣鳖应
amdy	安眉带眼
amfq	爱毛反裘
amgu	安民告示
amld	鞍马劳顿
amlj	鞍马劳倦
amlk	鞍马劳困
amlu	鞍马劳神
amnv	爱莫能助
amrz	爱民如子
amul	傲慢少礼
amvh	挨门逐户
amvx	爱美之心
amwl	傲慢无礼
amwq	奥妙无穷
amxr	爱慕虚荣
amvl	鞍马之劳
amvq	暧昧之情
amzu	按名责实
amvu	暗昧之事
amvv	爱莫之助
anbv	按捺不住
anby	懊恼不已
ancm	碍难从命
andv	傲睨得志
anrw	安内攘外
anww	傲睨万物
anyq	傲睨一切
anyu	傲睨一世
anzr	傲睨自若
apap	安排安排
apdy	阿毗地狱
apjd	阿平绝倒
apld	安贫乐道
aplj	安贫乐贱
apud	安贫守道
apxx	按辔徐行
aqan	暗气暗恼
aqbx	哀其不幸
aqdy	安全第一
aqmh	鞍前马后
aqqj	安全起见
aqrm	爱钱如命
aqud	熬清守淡|熬清受淡
aqut	熬清守谈
aqxu	安全系数
ardm	岸然道貌
argi	矮人观场
arhu	爱人好士
arji	爱如己出
arki	矮人看场
arkq	蔼然可亲
arkx	矮人看戏
arlw	爱人利物
arpu	安如磐石|安如盘石
arrg	安然如故
arrm	安然入眠
arru	安然入睡
arrv	蔼然仁者
aruu	黯然神伤|黯然伤神
arus	黯然失色
artl	傲然挺立
artu	安如泰山|安如太山|安若泰山
arwd	暗弱无断
arwq	安忍无亲
arwu	安然无事
arws	黯然无色
arwy	安然无恙
arxh	黯然销魂
arxl	爱日惜力
aryd	爱人以德
aryl	傲然屹立
arvb	爱如珍宝
hrzd	昂然自得
arzr	安然自若
hrvr	昂然直入
hrzr	昂然自若
auaj	碍手碍脚
aubf	安守本分
asbj	阿塞拜疆
aubq	暗室不欺
aubu	爱说不说
auiu	安时处顺
audp	安神定魄
asds	捱三顶四
asdw	挨三顶五|捱三顶五
audx	傲霜斗雪
aufd	暗室逢灯
aufy	安生服业
ashg	爱素好古
ashv	哀丝豪竹
asjm	爱斯基摩
hukb	昂首阔步
aukx	暗室亏心
auli	安室利处
aulm	安身立命
auly	安身乐业|安生乐业
asml	阿斯马拉
auny	爱沙尼亚
aspl	阿司匹林
asqb	暗送秋波
auqs	阿时趋俗
auqw	暗室求物|傲世轻物|敖世轻物
auqx	傲视群雄|暗室欺心
asri	哀思如潮
auri	安适如常
aush	挨山塞海
huum	昂首伸眉|海誓山盟
ausx	暗室私心
astn	阿斯塔纳
autq	唉声叹气|哀声叹气|嗳声叹气
hutw	昂首天外
hutx	昂首挺胸|韩寿偷香
auwl	安身为乐|暗室屋漏
auws	爱生恶死
huwt	昂首望天
auvi	安身之处
auvd	安身之地
auvl	安史之乱
auvs	安身之所
atan	傲头傲脑
atbp	凹凸不平
atdv	鳌头独占
atjd	哀天叫地
htkb	昂头阔步
atkq	暗通款曲
atly	安土乐业
atsj	按图索骥|按图索骏
httw	昂头天外
httx	昂头挺胸
atvq	安土重迁
atyj	哀痛欲绝
atyv	凹凸有致
atvj	安土重旧|安土重居
avew	安枕而卧
avff	安知非福
avfh	安知非祸
avml	安装目录
avms	暗中摸索
avrs	安之若素
avwy	安枕无忧
awaw	安慰安慰
awjw	爱屋及乌
awld	案无留牍
awtr	暗无天日
awxy	安危相易
awyg	安危与共
axbx	爱信不信
axcz	暗箱操作
axdv	安心定志
axfl	熬心费力
axfp	按需分配
axjl	爱新觉罗
axjx	暗下决心
axlu	傲雪凌霜
axly	安心乐意|安心乐业|安心落意
axmu	傲贤慢士
axqu	傲雪欺霜
hxsh	昂霄耸壑
axuy	暗香疏影
axwn	安享晚年
axym	爱惜羽毛
axzd	安闲自得|遨翔自得
axzy	按行自抑
axzz	安闲自在
ayfh	熬油费火
aygs	安于故俗
ayjk	聱牙戟口
ayjq	聱牙佶屈|聱牙诘曲|聱牙诘屈
aypu	安于盘石
ayst	爱因斯坦
ayvv	安营扎寨
hyxj	盎盂相击
hyxq	盎盂相敲|好言相劝
ayxv	安于现状|安营下寨
ayyl	奥援有灵
ayyy	安于一隅
azau	碍足碍手
azdb	安坐待毙
azfm	爱憎分明
azgi	矮子观场
avjq	鳌掷鲸呿
avjt	鳌掷鲸吞
azkx	矮子看戏
azpc	腌臜泼才
azqx	暗自庆幸
avrm	安之若命
azzd	爱咋咋地
avvl	安宅正路
bail	不按常理
bael	北爱尔兰
bahx	不安好心
baqu	不安其室
bayu	不安于室
bayw	不安于位
bbbk	不卑不亢
bbbq	百病不侵
bbby	褒贬不一
bbiu	百病缠身
bbcu	百弊丛生
bbiy	百步穿杨
bbiv	蚌病成珠
bbdd	斑斑点点
bbdg	步步登高
bbdj	并不多见
bbdl	不必多礼
bbdn	百般刁难
bbds	巴巴多斯
bbdt	包办代替
bbdv	不必当真
bbdy	逼不得已
bbfi	百般奉承
bbfu	报本反始
bbfw	百般抚慰
bbfy	不避斧钺
bbgh	八百孤寒
bbgu	步步高升|报冰公事
bbhh	比比划划
bbhy	包办婚姻
bbjb	步步紧逼
bbjj	白白净净|巴巴急急|巴巴劫劫|巴巴结结
bbjl	变本加厉
bbju	比比皆是|半壁江山
bbjv	标本兼治
bbjx	步步惊心
bbkq	必不可缺
bbku	必不可少
bblf	白白浪费
bblh	步步莲花
bbll	冰冰凉凉|斑驳陆离
bbly	半部论语
bbmh	笔饱墨酣
bbmm	爸爸妈妈
bbms	抱布贸丝
bbnb	必不挠北
bbnf	别不耐烦
bbnn	白白嫩嫩
bbpp	白白胖胖
bbqg	彪炳千古
bbql	跛鳖千里
bbqm	背本趋末
bbqw	不变其文
bbqy	白璧青蝇
bbrl	把臂入林
bbrw	并不认为
bbry	并不容易
bbuc	彪炳史册
bbuj	勃勃生机
bbul	步步生莲
bbum	帮不上忙|不辨菽麦
bbuu	并不是说
bbus	布帛菽粟
bbsx	白璧三献
bbsy	拔本塞源|百不随一
bbuy	百不失一
bbtt	蹦蹦跳跳
bbvd	并不知道
bbvj	八拜之交
bbvm	百般折磨
bbvw	不辨真伪
bbvy	不白之冤
bbwi	卑鄙无耻|卑鄙龌龊
bbwn	被逼无奈
bbwq	并不完全|布被瓦器
bbww	病病歪歪
bbwx	白璧微瑕|白璧无瑕
bbwy	步步为营
bbxr	兵不血刃
bbxy	并不需要
bbyc	百不一存
bbyd	并不一定
bbyf	饱饱眼福
bbyj	兵不由将
bbyl	彬彬有礼
bbyv	兵不厌诈
bbyw	并不意外
bbyx	不必言谢
bbzn	百般阻挠
bbzu	悲不自胜
bbvu	秉笔直书
bbzy	不必在意
bbvv	不拔之志|白白朱朱
bibc	不瞅不睬
bibd	把持不定
bibf	不茶不饭
bibj	罢黜百家|匕鬯不惊
bibl	不痴不聋
bibn	不吵不闹|半筹不纳
biby	百吃不厌
bibv	把持不住
bich	彼倡此和
bciq	拔萃出群
biit	悲愁垂涕
bidq	必成大器
bidu	搬唇递舌
bceb	不辞而别
bcfy	不测风云
bify	不成方圆
bigh	百川归海
bcgm	本草纲目
bigt	百尺竿头
bihf	不差毫发
bihl	不差毫厘
bchx	包藏祸心
bchy	白草黄云
bcjd	不存芥蒂
bijf	剥床及肤
bijk	备尝艰苦
bijy	不成敬意|背城借一
bijv	别出机杼
bckr	病从口入
bclk	不辞劳苦
bill	八窗玲珑
bilm	弊车羸马
bilu	不差累黍
bcmb	百辞莫辩
bimj	鞭长莫及
bimm	不揣冒昧
biqm	白齿青眉
bcqu	便辞巧说
biqw	不成其为
biqy	薄唇轻言
biqv	必承其重
bisl	不出所料
bcsm	蔽聪塞明
bcuq	抱残守缺
biuq	悲春伤秋
bisw	不成三瓦
biux	不差上下
biuv	抱诚守真
bitt	不成体统
bity	不啻天渊
bcwa	辩才无碍
bcwn	博茨瓦纳
biwt	不成问题
bixc	别出心裁
bixh	报仇雪恨
bixk	备尝辛苦
bcxu	拨草寻蛇
bixw	不耻下问
bcyd	饱餐一顿
biyr	不齿于人
biyt	抱成一团
biyw	不出意外
biyv	背城一战
bcvb	卑辞重币
bcvi	博采众长
bizg	卑谄足恭
bizh	不耻最后
bivh	兵车之会
bivm	不传之秘
bcvq	不次之迁
bivt	不逞之徒
bivx	不臣之心
bdan	不得安宁
bdbf	不得不服
bdbl	宝刀不老
bdbq	百毒不侵
bdbx	不大不小
bdby	百读不厌
bdix	拔丁抽楔
bddj	百端待举
bddy	不登大雅
bdei	背道而驰
bdej	倍道而进
bdeq	拔地而起
bdev	不得而知
bdfr	并蒂芙蓉
bdgk	百代过客
bdhs	不得好死
bdhx	霸道横行
bdhz	白底黑字
bdjg	兵多将广
bdju	博大精深
bdjw	不懂就问
bdjz	百堵皆作
bdkh	遍地开花
bdkn	不大可能
bdkt	北达科他
bdky	不打诳语
bdlf	备多力分
bdlg	布达拉宫
bdll	不得了了
bdmd	不达目的
bdnl	表达能力
bdps	布达佩斯
bdqf	不得其法
bdqs	不得其所
bdqx	北斗七星
bdri	笔大如椽
bdru	不动如山
bdrx	不得人心|败德辱行
bdrz	不当人子
bdsi	冰冻三尺
bdug	不待蓍龟
bdsk	白丁俗客
bdus	不动声色
bduv	不得善终
bdti	拔得头筹
bdtg	不断提高
bdvd	不懂装懂
bdwe	伯道无儿
bdwl	宝刀未老
bdwz	百代文宗
bdxv	拔刀相助
bdxy	北大西洋
bdyl	弊大于利|不得要领
bdym	拜倒辕门
bdys	笨得要死
bdyu	拔地摇山
bdyt	拔地倚天
bdyv	步调一致
bdyw	不得有误
bdyy	棒打鸳鸯
bdvb	兵多者败
bdvc	八斗之才
bdvr	北道主人
bdzv	不打自招
bdvz	北斗之尊
bebd	避而不答
bebj	避而不见|博而不精
bebt	避而不谈
beby	备而不用
befm	不二法门
befz	不二法则
begy	博而寡要
bels	白俄罗斯
besu	拜恩私室
bevk	巴尔扎克
bevx	不二之选
bewy	背恩忘义
bfbc	不分彼此
bfbf	不悱不发
bfbq	不愤不启
bfbu	不丰不杀
bfbv	百发百中
bfcc	白发苍苍
bfik	不法常可
bfcu	不负此生
bfiu	抱法处势
bfcy	白发苍颜
bfcz	不复存在
bfdj	百废待举
bfdn	不复当年
bfdx	百废待兴
bffy	八方风雨
bffz	不法分子
bfgx	不分高下
bfhy	八方呼应|白发红颜|别风淮雨
bfjh	不废江河
bfjj	把饭叫饥
bfju	百夫决拾
bfjx	百废俱兴
bfjy	暴风疾雨
bfku	白费口舌
bfll	兵分两路
bflq	白费力气
bfqi	白饭青刍
bfqr	不乏其人
bfqu	白发青衫
bfqv	不分轻重|白发千丈
bfuh	不负韶华
bfum	不伏烧埋
bfst	不负所托
bfut	不服水土
bfty	悲愤填膺
bfvb	百分之百
bfvt	不法之徒|剥肤之痛
bfvw	不负众望
bfvy	百分之一|暴风骤雨|捕风捉影|不分畛域|八方支援
bfwb	变废为宝
bfwr	抃风舞润
bfwx	变法维新
bfwy	布帆无恙
bfxa	八府巡按
bfxj	白费心机
bfxl	不乏先例
bfxv	不分轩轾
bfxw	不法行为
bfyu	并非易事
bfyv	笔锋一转
bfyy	不发一言
bfzb	不分皂白
bfvi	八方支持
bfvl	北风之恋
bfzr	不负责任
bfzv	不扶自直
bgam	保国安民
bgbi	笔耕不辍
bgbd	半工半读
bgbg	不管不顾|不尴不尬
bgbj	不干不净|必恭必敬|毕恭毕敬|不古不今
bgbl	包工包料|秉公办理
bgbw	不管不问
bgcf	不甘雌伏
bgdt	不共戴天
bgdy	半个多月
bgee	不过尔尔
bgeq	不告而取
bggl	不敢告劳
bggp	不敢高攀
bggt	不敢苟同
bghr	不甘后人
bghw	不敢或忘
bgjc	杯觥交错
bgjj	百感交集
bgjm	不甘寂寞
bgjt	抱关击柝
bgjw	伯歌季舞
bgjy	不关紧要
bglh	不甘落后
bglj	八国联军
bgll	波光粼粼
bglm	不敢掠美|布鼓雷门
bgly	傍观冷眼
bgpw	不敢旁骛
bgql	不改其乐
bgqs	闭关却扫
bgqx	卑躬屈膝
bgrc	不过如此
bgsg	闭关锁国
bguj	半个世纪
bgur	不甘示弱
bgus	兵贵神速
bguu	八公山上
bgst	敝鼓丧豚
bguy	杯弓蛇影|补过拾遗
bguv	不敢擅专
bgtj	博古通今
bgty	不关痛痒
bgvf	秉公执法
bgvl	百舸争流|病骨支离|不根之论
bgvt	半个钟头|不轨之徒
bgvy	悲观主义
bgwj	不敢问津
bgwu	别跟我说|巴高望上
bgws	秉公无私
bgwx	报告文学
bgwy	不敢妄言
bgxq	不感兴趣
bgxu	半个小时|兵贵先声
bgxx	不敢相信
bgyi	变古易常
bgye	北宫婴儿
bgyq	不顾一切
bgys	不够意思
bgyu	稗官野史
bgyt	笔耕砚田
bgyx	不苟言笑
bgzc	不敢造次
bgvd	白圭之玷
bgve	巴高枝儿
bgzp	不攻自破
bgvp	败鼓之皮
bgzu	闭关自守
bhbh	不哼不哈
bhbl	陂湖禀量
bhiu	帮虎吃食
bhdd	变化多端
bhdu	闭户读书
bhel	不寒而栗
bhes	不欢而散
bhfm	白黑分明
bhgl	别鹤孤鸾
bhgr	白虹贯日
bhhq	抱恨黄泉
bhjf	避祸就福
bhjl	避害就利
bhlh	悲欢离合
bhmc	变化莫测|变幻莫测
bhml	兵荒马乱
bhph	暴虎冯河
bhqf	百花齐放
bhqp	百卉千葩
bhqt	碧海青天
bhqy	冰壶秋月
bhsl	傍花随柳
bhur	百花生日
bhuy	不合时宜
bhtg	八纮同轨
bhwi	变化无常|变幻无常
bhwq	变化无穷
bhxp	冰魂雪魄
bhyu	冰寒于水
bhvm	不讳之门
bhvn	不惑之年
bhvr	薄寒中人
bhvt	抱恨终天
bhvw	八荒之外
bhvy	白华之怨
bhzz	跋扈自恣
bjbf	不矜不伐
bjbg	不今不古
bjbh	包教包会
bjbj	半间不界
bjbl	半斤八两|搬斤播两|不即不离
bjbq	百举百全|比肩并起
bjbs	不见不散|不稼不穑
bjbx	不疾不徐
bjbz	不骄不躁
bjia	把酒持螯
bjib	边际成本
bjcs	饱经沧桑
bjdg	班荆道故
bjdj	不计代价
bjdl	不记得了
bjdn	不减当年
bjdu	冰解冻释
bjdv	八九点钟|飙举电至
bjdx	北京大学
bjeh	贝加尔湖
bjel	比肩而立
bjeu	不教而杀
bjev	不教而诛
bjey	比较而言
bjez	不胫而走
bjfi	别具肺肠
bjfh	拜将封侯
bjfl	擘肌分理
bjfq	不解风情|弊绝风清
bjfu	饱经风霜
bjft	不进反退
bjgd	苞苴竿牍
bjgm	杯酒戈矛
bjgr	八九个人
bjgx	白驹过隙
bjgy	八九个月
bjhg	不计后果
bjhh	保驾护航
bjhy	别具慧眼
bjjm	八街九陌
bjjv	比肩接踵|比肩继踵|不见经传
bjjw	不咎既往
bjjx	别具匠心
bjjy	不觉技痒
bjkg	白驹空谷
bjlx	背井离乡
bjly	保加利亚
bjlz	兵精粮足
bjmz	不讲面子
bjny	不拘泥于
bjqj	百金求间
bjql	不近情理
bjqq	并驾齐驱
bjqu	不计其数|比肩齐声
bjqx	不计前嫌
bjqy	不及其余
bjrc	不仅如此
bjrl	不绝如缕
bjrq	不近人情
bjrt	半截入土
bjry	不尽人意
bjsc	悲剧色彩
bjsl	不见森林
bjus	八九十岁
bjss	不假思索
bjst	巴基斯坦
bjtr	不见天日
bjtu	不见泰山
bjvc	不羁之才
bjvd	必经之地
bjvj	败军之将|不教之教
bjvl	必经之路
bjvm	百家争鸣|不羁之民
bjvt	不经之谈
bjvy	不解之缘|别具只眼
bjwd	不讲武德
bjwg	保家卫国
bjwm	不尽完美
bjwy	彼竭我盈
bjxi	冰肌雪肠
bjxj	不拘小节
bjxl	补苴罅漏
bjxm	保境息民
bjxt	不尽相同
bjyd	败局已定
bjye	不绝于耳
bjyf	八九月份
bjyg	别具一格|冰肌玉骨|波谲云诡|不拘一格
bjyh	不久以后|杯酒言欢
bjyn	包举宇内
bjyq	不讲义气
bjyu	不经一事
bjyx	不见舆薪
bjvf	不及之法
pjvr	被坚执锐|披坚执锐
bjzu	薄技在身
bjzt	不进则退
bjzv	并肩作战
bjvw	不急之务
bkbb	不亢不卑
bkbf	不可不防
bkbt	闭口不谈
bkbv	不可不知
bkby	百看不厌|闭口不言
bkbz	不愧不作
bkcu	闭口藏舌
bkit	鼻孔朝天
bkdd	不可多得
bkdn	不可端倪
bkdy	不可动摇
bkdz	拔葵啖枣
bkev	不可遏制
bkfr	不可否认
bkgb	不可改变
bkgl	不可估量
bkgr	不可告人
bkhq	不可或缺
bkhu	不堪回首
bkjd	不可兼得
bkjj	不可究诘
bkjx	不可教训
bkjy	不可救药
bkkd	不可揆度
bkkj	不可开交
bkkl	不可抗力
bklj	避坑落井
bkly	不可理喻
bkmb	百口莫辩
bkmm	不可磨灭|播糠眯目
bkmv	不可名状
bknb	不可能吧
bknd	不可能的
bknv	不可逆转
bkpf	不可偏废
bkqi	百孔千疮
bkqf	不可侵犯
bkqj	不可企及
bkqu	不可缺少
bkqx	不可全信
bkqy	不堪其忧
bkqv	拔葵去织
bkre	不堪入耳
bkrm	不堪入目
bkrx	碧空如洗
bkry	宾客如云
bkum	别开生面
bkuu	不可胜数|不可收拾
bkux	不堪设想
bksy	不可思议
bkuy	不可胜言
bktx	不可推卸
bkvl	不可知论|不刊之论
bkvm	不可捉摸
bkvr	不可终日
bkvx	不可置信
bkwl	不愧屋漏
bkwy	不可外扬
bkxd	不可懈怠
bkxe	不可向迩
bkxl	不可限量
bkxq	不可小觑
bkxu	不可小视
bkxx	不可想象
bkyi	不可言传
bkyd	不可以的
bkyg	不快也光
bkyj	不堪一击
bkym	不可以吗
bkyu	不可一世
bkyv	不可言状|不堪言状
bkyx	不可言宣
bkyy	不可逾越|不可言喻|不可移易
bkzc	不可造次
bkzj	不堪造就
bkzu	不可再生
blbc	不理不睬
blbj	波澜不惊
blbl	不伦不类|百伶百俐
blbq	不离不弃
blbr	不冷不热
blbw	拔来报往
blbx	奔流不息|不郎不秀
blby	表里不一|不稂不莠
blig	百炼成钢
blih	鬓乱钗横
blch	败柳残花
blij	半路出家
blcj	不吝赐教|败鳞残甲
blil	必里迟离
bliq	拔类超群
blcu	比类从事
blix	兵临城下
bldh	波罗的海
bldx	薄利多销
bleh	不劳而获
blej	比邻而居
blfl	别浪费了
blfm	不露锋芒|鄙吝复萌
blft	不劣方头
blfv	拨乱反正
blfy	不良反应
blgj	不露圭角
blhb	卑礼厚币
blhj	不留痕迹|兵连祸结
blhq	碧落黄泉
bljd	兵来将挡
bljj	濒临绝境
bljl	不良记录
bljn	步履艰难
blju	本来就是
blkf	暴力抗法
blkj	不落窠臼
blli	波澜老成
blll	筚路蓝缕
bllv	不了了之
blmj	白蜡明经
blmm	本来面目
blmu	百龄眉寿
blmv	摆龙门阵
blpu	步履蹒跚
blqd	布里奇顿|百了千当
blqf	波澜起伏
blqm	不留情面
blqr	壁立千仞
blqu	博览群书
blru	髀里肉生
blry	表里如一
blud	表里受敌
blse	布鲁塞尔
bluh	表里山河
blul	抱令守律
blus	不露声色
blst	巴勒斯坦
blut	拨乱视听
blsy	壁垒森严
blth	白里透红
blty	百里挑一
blvj	不吝指教
blvk	波澜壮阔
blwi	逼良为娼
blwj	步履维艰|表里为奸
blwu	白露为霜
blwx	包罗万象
blwy	别来无恙|暴露无遗
blwz	不立文字
blxg	不良习惯
blxm	伯乐相马
blxn	半老徐娘
blxw	玻璃纤维
blyd	不留余地
blyf	白龙鱼服
blys	不利因素
blyv	表里一致
blyw	本来以为
blzi	不良资产
blzs	暴戾恣睢
blzw	霸陵醉尉
blvy	不吝珠玉
bmbb	不明不白
bmbi	闭门不出
bmbv	不蔓不枝
bmbx	半梦半醒
bmby	背盟败约
bmii	北面称臣
bmim	摆明车马
bmiu	病魔缠身
bmiy	白眉赤眼
bmdv	本末倒置
bmeh	不谋而合
bmeu	不默而生
bmgd	筚门闺窦
bmgg	病民蛊国
bmgs	笔墨官司
bmhg	闭门酣歌
bmhy	白旄黄钺
bmjg	八面见光
bmjr	薄命佳人
bmju	拔毛济世
bmlf	八面来风
bmll	八面玲珑
bmlr	拔茅连茹|拔毛连茹
bmmj	闭门觅句
bmnf	班门弄斧
bmnu	不瞒你说
bmny	北门南牙
bmqs	闭门却扫
bmqv	不谋其政
bmud	八面受敌
bmuf	八面驶风
bmsg	闭门思过
bmuk	表面上看
bmul	不明事理
bmuu	白面书生
bmst	闭目塞听
bmsy	北门锁钥
bmtx	闭门投辖
bmvd	不毛之地|不牧之地
bmvv	百忙之中|拔苗助长
bmvx	不明真相
bmvy	笔墨纸砚
bmwd	兵马未动
bmwf	八面威风
bmwv	表面文章
bmwz	白马王子
bmxi	宝马香车
bmxx	表面现象
bmyi	八面莹澈
bmyq	不名一钱
bmyt	八面圆通
bmyw	不名一文
bmyx	变名易姓
bmzi	闭门造车
bmvj	半面之交|半面之旧
bmvl	八面张罗
bmvn	摽梅之年
bmzy	不鸣则已
bnbj	不年不节
bnbn	不男不女
bnby	百年不遇
bnif	百鸟朝凤
bndj	百年大计
bnew	不怒而威
bnhh	百年好合
bnje	不念旧恶
bnjh	百念皆灰
bnki	不难看出
bnny	百年难遇
bnuf	搬弄是非
bnur	百年树人
bnsz	八难三灾
bnwd	暴虐无道
bnwq	不能瓦全
bnwu	不宁唯是
bnxf	笨鸟先飞
bnxl	百年偕老
bnxx	不难想象
bnzb	不能自拔
bnvb	百年之柄
bnvh	百年之好|百年之后
bnvm	搏牛之虻
bnzw	不怒自威
bnzy	不能自已
bpbd	不偏不党
bpbl	不破不立
bpbp	不怕不怕
bpby	不偏不倚
bpij	剥皮抽筋
bpjb	补偏救弊
bpjl	鞭辟近里
bplj	杯盘狼藉
bpmz	宾朋满座
bprl	鞭辟入里
bpuv	抱朴守拙
bpyt	白跑一趟
bpyw	不怕一万
bpzm	不平则鸣
bqau	不欺暗室
bqbi	不清不楚
bqbh	半青半黄
bqbn	不屈不挠
bqic	拔群出萃
bqcm	不弃草昧
bqdq	补阙灯檠
bqdw	博洽多闻
bqdx	不确定性
bqem	不擒二毛
bqer	不期而然
bqev	不期而至
bqey	不期而遇
bqfm	避其锋芒
bqfu	百犬吠声
bqgy	薄情寡义
bqhb	不求回报
bqhi	步其后尘
bqhd	暴取豪夺
bqlv	鼻青脸肿
bqlx	屏气敛息
bqmv	兵强马壮
bqnu	屏气凝神
bqqq	百巧千穷
bqrq	避其锐气
bqsh	巴前算后
bquj	不切实际|不求甚解
bqsy	版权所有
bquy	补阙拾遗
bqvg	比起这个|贝阙珠宫
bqvq	不情之请
bqvy	霸权主义
bqwd	不求闻达
bqxg	不期修古
bqyg	不求有功
bqyj	冰清玉洁
bqyr	冰清玉润
bqvh	跋前踬后
bqzl	不请自来
bqzy	不起作用
brbi	悖入悖出
brbs	勃然变色
brbx	倍日并行
brby	不仁不义|不日不月
brdh	不然的话
brdn	勃然大怒
brdw	哺乳动物
breu	并日而食
brfl	勃然奋励
brfu	不容分说|髀肉复生
brgh	病入膏肓
brgq	不如归去
brgs	病入骨髓
brgy	蔽日干云
brhi	步人后尘
brhj	薄弱环节
brhu	不容忽视
brhx	不入虎穴
brjg	白日见鬼
brlb	傍人篱壁
brlg	不容乐观
prmh	傍人门户
brry	不如人意
brum	不辱使命
brut	白日升天
bruy	不入时宜
brvg	步入正轨
brvh	不容置喙
brvu	不忍直视
brvy	不容置疑
brxj	兵戎相见
brxl	避让贤路|巴人下里
brxq	不容小觑
bryu	不容有失
bryx	白日衣绣
brvb	不容置辩
brzd	不忍卒读
brzm	白日做梦
bubc	变生不测
bube	褒善贬恶
bsbh	半死不活|不死不活
bsbj	百思不解
bubl	百试百灵|不衫不履
bubm	白首北面|百世不磨|不生不灭
bubn	把屎把尿
bubs	半身不遂
bubu	半生不熟|不胜杯杓
bsbs	不三不四
bubx	不声不响|不上不下
bsbx	不死不休
bubz	比上不足
bubv	不识不知
buih	拔山超海
buij	百舍重茧
buix	杯水车薪
bsiv	把素持斋
budd	板上钉钉
budt	不识大体|博识多通
budw	拔十得五
bueh	不说二话
bufd	不守妇道
buft	博硕肥腯
bufy	饱受非议
bugc	不失圭撮
bugd	拔山扛鼎|不识高低
bugu	拔山盖世
