美元	$|💵|💲
对钩	✅|✔
答对	✅|⭕
答对了	✅|⭕
旅行	✈️
飞机	✈️
信	✉️
信件	✉️
信封	✉️
写信	✉️
举起拳头	✊
举起的拳头	✊
握拳	✊
举起的手	✋
击掌	✋
手	✋
手掌	✋
两个	✌️
剪刀手	✌️
和平手势	✌️
哦耶	✌️
成功	✌️
第二	✌️
耶	✌️
胜利	✌️
赢了	✌️
赢咯	✌️
赢啦	✌️
写	✍️
写字	✍️
手写	✍️
铅笔	✏️
钢笔	✒️|🖋
对	✔|✅|⭕
正确	✔|✅|⭕
乘	✖️
乘以	✖️
乘号	✖️
十字架	✝️
基督	✝️
基督教	✝️
大卫之星	✡️
金光闪闪	✨
金闪闪	✨
闪亮	✨
闪光	✨
闪耀	✨
八轮辐星号	✳️
八角星	✴️
雪	❄️
雪花	❄️
叉	❌|❎
叉叉	❌|❎
画叉	❌|❎
答错	❌|❎
答错了	❌|❎
错	❌|❎
错号	❌|❎
错误	❌|❎
问号	❓|❔
白色问号	❔
白问号	❔
白叹号	❕
白惊叹号	❕
白感叹号	❕
白色叹号	❕
白色惊叹号	❕
白色感叹号	❕
叹号	❗|❕
惊叹号	❗|❕
感叹号	❗|❕
心叹号	❣️
心在燃烧	❤️‍🔥
心在着火	❤️‍🔥
心火	❤️‍🔥
火上之心	❤️‍🔥
燃烧的心	❤️‍🔥
爱火	❤️‍🔥
修复受伤的心灵	❤️‍🩹
受伤的心	❤️‍🩹
受伤的心灵	❤️‍🩹
心伤	❤️‍🩹
治愈的心	❤️‍🩹
加	➕
加号	➕
减	➖
减号	➖
除	➗
除以	➗
除号	➗
右	➡️
右箭头	➡️
向右箭头	➡️
卷曲环	➰
双卷曲环	➿
向左箭头	⬅️
左	⬅️
左箭头	⬅️
上	⬆️
上箭头	⬆️
向上箭头	⬆️
下	⬇️
下箭头	⬇️
向下箭头	⬇️
小黑框	⬛
方形	⬛|⬜
正方形	⬛|⬜
矩形	⬛|⬜
黑框	⬛
小白框	⬜
白框	⬜
五角星	⭐
星星	⭐|🌟|✨
圆圈	⭕
波浪型破折号	〰️
波浪线	〰️
歌记号	〽️
祝	㊗️
祝福	㊗️
秘	㊙️
人民币	￥
日元	￥|💴
日币	￥
中	🀄
红中	🀄
麻将	🀄
joker	🃏
大小王	🃏
大王	🃏
小丑牌	🃏
小王	🃏
鬼牌	🃏
A	🅰️
A型	🅰️
A型血	🅰️
A血型	🅰️
血型	🅰️|🆎|🅱️|🅾️
B	🅱️
B型	🅱️
B型血	🅱️
B血型	🅱️
O	🅾️
O型	🅾️
O型血	🅾️
O血型	🅾️
P	🅿️
parking	🅿️
停车场	🅿️
停车按钮	🅿️
泊车	🅿️
AB	🆎
AB型	🆎
AB型血	🆎
AB血型	🆎
clear	🆑
清理	🆑
清除	🆑
cool	🆒
很酷	🆒
特别酷	🆒
超酷	🆒
酷	🆒
free	🆓
免费	🆓
自由	🆓
身份	🆔
new	🆕
全新	🆕
新	🆕
新建	🆕
新的	🆕
NG	🆖
重拍	🆖
SOS	🆘
救命	🆘
救我	🆘
救救我	🆘
求救	🆘
求救信号	🆘
求救讯号	🆘
up	🆙
升级	🆙
顶	🆙
Vs.	🆚
对决	🆚
对战	🆚
对抗	🆚
比	🆚
比赛	🆚
阿森松	🇦🇨
阿森松岛	🇦🇨
安道尔	🇦🇩
安道尔公国	🇦🇩
阿拉伯	🇦🇪
阿拉伯联合酋长国	🇦🇪
阿富汗	🇦🇫
安巴	🇦🇬
安提瓜和巴布达	🇦🇬
安圭拉	🇦🇮
阿尔巴尼亚	🇦🇱
阿尔巴尼亚共和国	🇦🇱
亚美尼亚	🇦🇲
亚美尼亚共和国	🇦🇲
安哥拉	🇦🇴
安哥拉共和国	🇦🇴
南极洲	🇦🇶
阿根廷	🇦🇷
阿根廷共和国	🇦🇷
东萨摩亚	🇦🇸
美属萨摩亚	🇦🇸
奥地利	🇦🇹
奥地利共和国	🇦🇹
澳大利亚	🇦🇺
澳大利亚联邦	🇦🇺
阿鲁巴	🇦🇼
奥兰	🇦🇽
奥兰群岛	🇦🇽
阿赫韦南马	🇦🇽
阿塞拜疆	🇦🇿
阿塞拜疆共和国	🇦🇿
波斯尼亚和黑塞哥维那	🇧🇦
波黑	🇧🇦
巴巴多斯	🇧🇧
孟加拉	🇧🇩
孟加拉国	🇧🇩
比利时	🇧🇪
比利时王国	🇧🇪
布基纳法索	🇧🇫
保加利亚	🇧🇬
保加利亚共和国	🇧🇬
巴林	🇧🇭
巴林王国	🇧🇭
布隆迪	🇧🇮
布隆迪共和国	🇧🇮
贝宁	🇧🇯
贝宁共和国	🇧🇯
圣巴泰勒米	🇧🇱
百慕大	🇧🇲
文莱	🇧🇳
文莱达鲁萨兰国	🇧🇳
多民族玻利维亚国	🇧🇴
玻利维亚	🇧🇴
玻利维亚国	🇧🇴
荷属加勒比区	🇧🇶
巴西	🇧🇷
巴西联邦	🇧🇷
巴西联邦共和国	🇧🇷
巴哈马	🇧🇸
巴哈马国	🇧🇸
不丹	🇧🇹
不丹王国	🇧🇹
布韦岛	🇧🇻
博茨瓦纳	🇧🇼
博茨瓦纳共和国	🇧🇼
白俄	🇧🇾
白俄罗斯	🇧🇾
伯利兹	🇧🇿
加拿大	🇨🇦
科科斯	🇨🇨
科科斯（基林）群岛	🇨🇨
刚果	🇨🇩|🇨🇬
刚果民主共和国	🇨🇩
刚果金	🇨🇩
刚果（金）	🇨🇩
中非	🇨🇫
中非共和国	🇨🇫
刚果共和国	🇨🇬
刚果布	🇨🇬
刚果（布）	🇨🇬
瑞士	🇨🇭
瑞士联邦	🇨🇭
科特迪瓦	🇨🇮
科特迪瓦共和国	🇨🇮
库克群岛	🇨🇰
智利	🇨🇱
智利共和国	🇨🇱
喀麦隆	🇨🇲
喀麦隆共和国	🇨🇲
中华人民共和国	🇨🇳
中国	🇨🇳
五星红旗	🇨🇳
红旗	🇨🇳
哥伦比亚	🇨🇴
哥伦比亚共和国	🇨🇴
克利珀顿岛	🇨🇵
哥斯达黎加	🇨🇷
哥斯达黎加共和国	🇨🇷
古巴	🇨🇺
古巴共和国	🇨🇺
佛得角	🇨🇻
佛得角共和国	🇨🇻
库拉索	🇨🇼
圣诞岛	🇨🇽
塞浦路斯	🇨🇾
塞浦路斯共和国	🇨🇾
捷克	🇨🇿
捷克共和国	🇨🇿
德国	🇩🇪
德意志	🇩🇪
德意志联邦	🇩🇪
德意志联邦共和国	🇩🇪
迪戈加西亚岛	🇩🇬
吉布提	🇩🇯
吉布提共和国	🇩🇯
丹麦	🇩🇰
多米尼克	🇩🇲
多米尼克国	🇩🇲
多米尼加共和国	🇩🇴
阿尔及利亚	🇩🇿
阿尔及利亚民主人民共和国	🇩🇿
休达	🇪🇦
休达及梅利利亚	🇪🇦
休达和梅利利亚	🇪🇦
梅利利亚	🇪🇦
厄瓜多尔	🇪🇨
厄瓜多尔共和国	🇪🇨
爱沙尼亚	🇪🇪
爱沙尼亚共和国	🇪🇪
埃及	🇪🇬
西撒哈拉	🇪🇭
厄立特里亚	🇪🇷
厄立特里亚国	🇪🇷
西班牙	🇪🇸
西班牙王国	🇪🇸
埃塞俄比亚	🇪🇹
埃塞俄比亚联邦民主共和国	🇪🇹
欧洲联盟	🇪🇺
欧盟	🇪🇺
芬兰	🇫🇮
芬兰共和国	🇫🇮
斐济	🇫🇯
斐济共和国	🇫🇯
福克兰群岛	🇫🇰
马尔维纳斯群岛	🇫🇰
密克罗尼西亚	🇫🇲
法罗群岛	🇫🇴
法兰西	🇫🇷
法兰西共和国	🇫🇷
法国	🇫🇷
加蓬	🇬🇦
大不列颠及北爱尔兰联合王国	🇬🇧
英伦	🇬🇧
英国	🇬🇧
格林纳达	🇬🇩
格鲁吉亚	🇬🇪
法属圭亚那	🇬🇫
根西岛	🇬🇬
加纳	🇬🇭
加纳共和国	🇬🇭
直布罗陀	🇬🇮
格陵兰	🇬🇱
冈比亚	🇬🇲
冈比亚共和国	🇬🇲
几内亚	🇬🇳
几内亚共和国	🇬🇳
瓜德罗普	🇬🇵
赤道几内亚	🇬🇶
希腊	🇬🇷
希腊共和国	🇬🇷
南乔治亚和南桑威奇群岛	🇬🇸
危地马拉	🇬🇹
关岛	🇬🇺
几内亚比绍	🇬🇼
几内亚比绍共和国	🇬🇼
圭亚那	🇬🇾
圭亚那合作共和国	🇬🇾
中国香港	🇭🇰
中国香港特别行政区	🇭🇰
香港	🇭🇰
香港特别行政区	🇭🇰
赫德岛和麦克唐纳群岛	🇭🇲
洪都拉斯	🇭🇳
洪都拉斯共和国	🇭🇳
克罗地亚	🇭🇷
克罗地亚共和国	🇭🇷
海地	🇭🇹
海地共和国	🇭🇹
匈牙利	🇭🇺
加那利群岛	🇮🇨
印度尼西亚	🇮🇩
印度尼西亚共和国	🇮🇩
爱尔兰	🇮🇪
爱尔兰共和国	🇮🇪
以色列	🇮🇱
以色列国	🇮🇱
马恩岛	🇮🇲
印度	🇮🇳
印度共和国	🇮🇳
英属印度洋领地	🇮🇴
伊拉克	🇮🇶
伊拉克共和国	🇮🇶
伊朗	🇮🇷
伊朗伊斯兰共和国	🇮🇷
冰岛	🇮🇸
意大利	🇮🇹
意大利共和国	🇮🇹
泽西	🇯🇪
泽西岛	🇯🇪
牙买加	🇯🇲
约旦	🇯🇴
约旦哈希姆王国	🇯🇴
日本	🇯🇵
日本国	🇯🇵
肯尼亚	🇰🇪
肯尼亚共和国	🇰🇪
吉尔吉斯共和国	🇰🇬
吉尔吉斯斯坦	🇰🇬
柬埔寨	🇰🇭
柬埔寨王国	🇰🇭
基里巴斯	🇰🇮
基里巴斯共和国	🇰🇮
科摩罗	🇰🇲
科摩罗联盟	🇰🇲
圣基茨和尼维斯	🇰🇳
北朝鲜	🇰🇵
北韩	🇰🇵
朝鲜	🇰🇵
南朝鲜	🇰🇷
南韩	🇰🇷
韩国	🇰🇷
科威特	🇰🇼
科威特国	🇰🇼
开曼群岛	🇰🇾
哈萨克斯坦	🇰🇿
哈萨克斯坦共和国	🇰🇿
老挝	🇱🇦
老挝人民民主共和国	🇱🇦
黎巴嫩	🇱🇧
黎巴嫩共和国	🇱🇧
圣卢西亚	🇱🇨
列支敦士登	🇱🇮
列支敦士登公国	🇱🇮
斯里兰卡	🇱🇰
斯里兰卡民主社会主义共和国	🇱🇰
利比里亚	🇱🇷
利比里亚共和国	🇱🇷
莱索托	🇱🇸
莱索托王国	🇱🇸
立陶宛	🇱🇹
立陶宛共和国	🇱🇹
卢森堡	🇱🇺
卢森堡大公国	🇱🇺
拉脱维亚	🇱🇻
拉脱维亚共和国	🇱🇻
利比亚	🇱🇾
利比亚国	🇱🇾
摩洛哥	🇲🇦
摩洛哥王国	🇲🇦
摩纳哥	🇲🇨
摩纳哥公国	🇲🇨
摩尔多瓦	🇲🇩
摩尔多瓦共和国	🇲🇩
黑山	🇲🇪
法属圣马丁	🇲🇫
马达加斯加	🇲🇬
马达加斯加共和国	🇲🇬
马绍尔群岛	🇲🇭
北马其顿	🇲🇰
北马其顿共和国	🇲🇰
马里	🇲🇱
马里共和国	🇲🇱
缅甸	🇲🇲
缅甸联邦	🇲🇲
缅甸联邦共和国	🇲🇲
蒙古	🇲🇳
蒙古国	🇲🇳
中国澳门	🇲🇴
中国澳门特别行政区	🇲🇴
澳门	🇲🇴
澳门特别行政区	🇲🇴
北马里亚纳群岛	🇲🇵
马提尼克	🇲🇶
毛里塔尼亚	🇲🇷
毛里塔尼亚伊斯兰共和国	🇲🇷
蒙特塞拉特	🇲🇸
马耳他	🇲🇹
马耳他共和国	🇲🇹
毛里求斯	🇲🇺
毛里求斯共和国	🇲🇺
马尔代夫	🇲🇻
马尔代夫共和国	🇲🇻
马拉维	🇲🇼
马拉维共和国	🇲🇼
墨西哥	🇲🇽
墨西哥合众国	🇲🇽
马来西亚	🇲🇾
莫桑比克	🇲🇿
莫桑比克共和国	🇲🇿
纳米比亚	🇳🇦
纳米比亚共和国	🇳🇦
新喀里多尼亚	🇳🇨
尼日尔	🇳🇪
尼日尔共和国	🇳🇪
诺福克岛	🇳🇫
尼日利亚	🇳🇬
尼日利亚联邦	🇳🇬
尼日利亚联邦共和国	🇳🇬
尼加拉瓜	🇳🇮
尼加拉瓜共和国	🇳🇮
尼德兰	🇳🇱
荷兰	🇳🇱
挪威	🇳🇴
挪威王国	🇳🇴
尼泊尔	🇳🇵
瑙鲁	🇳🇷
瑙鲁共和国	🇳🇷
纽埃	🇳🇺
新西兰	🇳🇿
阿曼	🇴🇲
阿曼苏丹国	🇴🇲
巴拿马	🇵🇦
巴拿马共和国	🇵🇦
秘鲁	🇵🇪
秘鲁共和国	🇵🇪
法属波利尼西亚	🇵🇫
巴布亚新几内亚	🇵🇬
巴布亚新几内亚独立国	🇵🇬
菲律宾	🇵🇭
菲律宾共和国	🇵🇭
巴基斯坦	🇵🇰
巴基斯坦伊斯兰共和国	🇵🇰
波兰	🇵🇱
波兰共和国	🇵🇱
圣皮埃尔和密克隆群岛	🇵🇲
皮特凯恩群岛	🇵🇳
波多黎各	🇵🇷
巴勒斯坦领土	🇵🇸
葡萄牙	🇵🇹
葡萄牙共和国	🇵🇹
帕劳	🇵🇼
帕劳共和国	🇵🇼
巴拉圭	🇵🇾
巴拉圭共和国	🇵🇾
卡塔尔	🇶🇦
卡塔尔国	🇶🇦
留尼汪	🇷🇪
罗马尼亚	🇷🇴
塞尔维亚	🇷🇸
塞尔维亚共和国	🇷🇸
俄国	🇷🇺
俄罗斯	🇷🇺
俄罗斯联邦	🇷🇺
卢旺达	🇷🇼
卢旺达共和国	🇷🇼
沙特	🇸🇦
沙特阿拉伯	🇸🇦
沙特阿拉伯王国	🇸🇦
所罗门群岛	🇸🇧
塞舌尔	🇸🇨
塞舌尔共和国	🇸🇨
苏丹	🇸🇩
苏丹共和国	🇸🇩
瑞典	🇸🇪
瑞典王国	🇸🇪
新加坡	🇸🇬
新加坡共和国	🇸🇬
圣赫勒拿	🇸🇭
斯洛文尼亚	🇸🇮
斯洛文尼亚共和国	🇸🇮
斯瓦尔巴和扬马延	🇸🇯
斯洛伐克	🇸🇰
斯洛伐克共和国	🇸🇰
塞拉利昂	🇸🇱
塞拉利昂共和国	🇸🇱
圣马力诺	🇸🇲
圣马力诺共和国	🇸🇲
塞内加尔	🇸🇳
塞内加尔共和国	🇸🇳
索马里	🇸🇴
索马里联邦	🇸🇴
索马里联邦共和国	🇸🇴
苏里南	🇸🇷
苏里南共和国	🇸🇷
南苏丹	🇸🇸
南苏丹共和国	🇸🇸
圣多美和普林西比	🇸🇹
圣多美和普林西比民主共和国	🇸🇹
萨尔瓦多	🇸🇻
萨尔瓦多共和国	🇸🇻
圣马丁	🇸🇽
荷属圣马丁	🇸🇽
叙利亚	🇸🇾
叙利亚共和国	🇸🇾
阿拉伯叙利亚共和国	🇸🇾
斯威士兰	🇸🇿
斯威士兰王国	🇸🇿
特里斯坦-达库尼亚	🇹🇦
特里斯坦-达库尼亚群岛	🇹🇦
特克斯和凯科斯群岛	🇹🇨
乍得	🇹🇩
乍得共和国	🇹🇩
法属南部领地	🇹🇫
多哥	🇹🇬
多哥共和国	🇹🇬
暹罗	🇹🇭
泰国	🇹🇭
泰王国	🇹🇭
塔吉克斯坦	🇹🇯
塔吉克斯坦共和国	🇹🇯
托克劳	🇹🇰
东帝汶	🇹🇱
东帝汶民主共和国	🇹🇱
土库曼斯坦	🇹🇲
突尼斯	🇹🇳
突尼斯共和国	🇹🇳
汤加	🇹🇴
汤加王国	🇹🇴
土耳其	🇹🇷
土耳其共和国	🇹🇷
特立尼达和多巴哥	🇹🇹
特立尼达和多巴哥共和国	🇹🇹
图瓦卢	🇹🇻
中华民国	🇹🇼
台湾	🇹🇼
坦桑尼亚	🇹🇿
坦桑尼亚联合共和国	🇹🇿
乌克兰	🇺🇦
乌干达	🇺🇬
乌干达共和国	🇺🇬
美国本土外小岛屿	🇺🇲
联合国	🇺🇳
星条旗	🇺🇸
美利坚	🇺🇸
美利坚合众国	🇺🇸
美国	🇺🇸
乌拉圭	🇺🇾
乌拉圭东岸共和国	🇺🇾
乌兹别克斯坦	🇺🇿
乌兹别克斯坦共和国	🇺🇿
梵蒂冈	🇻🇦
梵蒂冈城国	🇻🇦
圣文森特和格林纳丁斯	🇻🇨
委内瑞拉	🇻🇪
委内瑞拉玻利瓦尔共和国	🇻🇪
英属维尔京群岛	🇻🇬
美属维尔京群岛	🇻🇮
越南	🇻🇳
越南社会主义共和国	🇻🇳
瓦努阿图	🇻🇺
瓦努阿图共和国	🇻🇺
瓦利斯和富图纳	🇼🇫
萨摩亚	🇼🇸
萨摩亚独立国	🇼🇸
科索沃	🇽🇰
科索沃共和国	🇽🇰
也门	🇾🇪
也门共和国	🇾🇪
马约特	🇾🇹
南非	🇿🇦
南非共和国	🇿🇦
赞比亚	🇿🇲
赞比亚共和国	🇿🇲
津巴布韦	🇿🇼
津巴布韦共和国	🇿🇼
这里	🈁
服务费	🈂️
无	🈚️
没有	🈚️
指	🈯
禁	🈲
空	🈳
空位	🈳
合	🈴
合格	🈴
没有空位	🈵
满	🈵
满了	🈵
满座	🈵
收费	🈶
有	🈶
有料	🈶
月	🈷️
申	🈸
申请	🈸
割	🈹
打折	🈹
开门营业	🈺
营	🈺
营业	🈺
得	🉐
讨价还价	🉐
可	🉑
台风	🌀
旋风	🌀
气旋	🌀
漩涡	🌀
飓风	🌀
雾气	🌁
雾气笼罩的桥	🌁
雾蒙蒙	🌁
雾都	🌁
收起的伞	🌂
收起的雨伞	🌂
雨伞	🌂|☂️|☔
半夜	🌃
夜晚	🌃
星光闪闪的夜晚	🌃
晚上	🌃
深夜	🌃
大山日出	🌄
山中日出	🌄
山顶日出	🌄
日出	🌄|🌅
旭日	🌄|🌅
旭日东升	🌄|🌅
傍晚	🌆
暮色	🌆
暮色中的城市	🌆
黄昏	🌆
夕阳	🌇
大厦夕阳	🌇
日落	🌇
落日	🌇
彩虹	🌈
夜幕下的桥	🌉
夜间大桥	🌉
夜间的大桥	🌉
大桥	🌉
桥	🌉
大浪	🌊
波浪	🌊
浪	🌊
浪花	🌊
火山	🌋
火山喷发	🌋
火山爆发	🌋
星空	🌌
银河	🌌
银河系	🌌
地球仪	🌍|🌎|🌏
欧洲	🌍
欧洲地球仪	🌍
欧洲非洲	🌍
欧洲非洲地球仪	🌍
欧非地球仪	🌍
非洲	🌍
非洲地球仪	🌍
非洲欧洲	🌍
美洲	🌎
美洲地球仪	🌎
亚洲	🌏
亚洲地球仪	🌏
亚洲澳洲	🌏
亚澳地球仪	🌏
澳亚地球仪	🌏
澳洲	🌏|🇦🇺
澳洲亚洲	🌏
澳洲地球仪	🌏
地球	🌐|🌍|🌎|🌏
子午线	🌐
经纬线	🌐
新月	🌑|🌚
朔月	🌑|🌚
月食	🌒|🌘
残月	🌒|🌘
眉月	🌒|🌘
蛾眉月	🌒|🌘
上弦月	🌓|🌛
盈凸月	🌔
圆月	🌕|🌝
月球	🌕
满月	🌕|🌝
亏凸月	🌖
下弦月	🌗|🌜
弯月	🌙
月亮	🌙
月牙	🌙
微笑的新月	🌚
微笑的朔月	🌚
微笑的上弦月	🌛
微笑的下弦月	🌜
微笑的月亮	🌝
微笑的满月	🌝
微笑的太阳	🌞
闪亮的星星	🌟
闪耀的星星	🌟
流星	🌠
许愿	🌠
温度计	🌡
少云	🌤
晴偶有云	🌤
白日小云	🌤
下雨	🌧
雨	🌧
雨云	🌧
下雪	🌨|❄️
雪云	🌨
打雷	🌩
雷云	🌩
龙卷风	🌪
雾	🌫
雾霾	🌫
霾	🌫
吹口气	🌬
吹拂	🌬
吹风	🌬
风吹拂	🌬
风吹拂的脸	🌬
热狗	🌭
卷饼	🌮|🌯
墨西哥卷饼	🌮|🌯
墨西哥薄饼卷	🌮
煎饼馃子	🌯
鸡肉卷	🌯
老北京鸡肉卷	🌯
板栗	🌰
栗子	🌰
榛子	🌰
发芽	🌱
嫩苗	🌱
幼苗	🌱
常青树	🌲
松树	🌲
大树	🌳
树	🌳
树木	🌳
落叶树	🌳
棕榈	🌴
棕榈树	🌴
仙人掌	🌵
红辣椒	🌶
辣椒	🌶
花	🌷
郁金香	🌷
樱花	🌸
玫瑰	🌹
玫瑰花	🌹
红玫瑰	🌹
木槿	🌺
木槿花	🌺
芙蓉	🌺
芙蓉花	🌺
向日葵	🌻
向阳花	🌻
太阳花	🌻
追日花	🌻
逐日花	🌻
开花	🌼
开花了	🌼
波斯菊	🌼
花朵	🌼
雏菊	🌼
玉米	🌽
苞米	🌽
水稻	🌾
稻穗	🌾
小麦	🌾
麦子	🌾
中药	🌿
草本植物	🌿
草药	🌿
药草	🌿
香草	🌿
草	🌿
四叶草	🍀
幸运草	🍀
幸运	🍀
枫叶	🍁
枫树叶	🍁
落叶	🍂
叶子	🍃
树叶	🍃
小蘑菇	🍄
蘑菇	🍄
棕蘑菇	🍄‍🟫
番茄	🍅
西红柿	🍅
茄子	🍆
提子	🍇
葡萄	🍇
哈密瓜	🍈
新疆瓜	🍈
甜瓜	🍈
蜜瓜	🍈
吃瓜	🍉
西瓜	🍉
柑橘	🍊
橘子	🍊
蜜橘	🍊
柠檬	🍋
酸	🍋
青柠	🍋‍🟩
香蕉	🍌
凤梨	🍍
