he	他|氦
aeneid	埃涅阿斯纪
aeolian	风成的
aeolus	埃俄罗斯
aeon	永世
aerate	充气
aerated	充气的
aerates	充气
aerating	充气
aeration	充气
aerator	充气器
aerators	充气器
aerial	空中的
aerialist	高空杂技师
aerially	空中地
aerials	天线
aerie	鹰巢
aerification	充气
aeriform	气态的
aerify	使气化
aero	航空的
aeroacoustic	气动声学的
aerobacter	气杆菌
aerobatics	特技飞行
aerobe	需氧菌
aerobic	需氧的
aerobics	有氧运动
aerobiology	空气生物学
aerodonetics	滑翔学
aerodrome	机场
aerodynamic	空气动力学的
aerodynamicist	空气动力学家
aerodynamics	空气动力学
aeroembolism	气栓
aerogram	航空邮简
aerolite	陨石
aerologist	高空气象学家
aerology	高空气象学
aerometer	气体比重计
aeron	航空的
aeronaut	飞行员
aeronautic	航空的
aeronautical	航空的
aeronautics	航空学
aeron chair	阿隆椅
aeropex	爱若飞
aerophare	航空灯塔
aeroplane	飞机
aeroport	机场
aerosmith	史密斯飞船
aerosol	气溶胶
aerosolize	雾化
aerosols	气溶胶
aerospace	航空航天
aerostat	浮空器
aery	高耸的
aeschylus	埃斯库罗斯
aesculapius	阿斯克勒庇俄斯
aesop	伊索
aesopian	伊索式的
aesthete	唯美主义者
aesthetic	美学的
aesthetically	审美上
aesthetics	美学
aestival	夏季的
aestivate	夏眠
aether	以太
afar	远处
afc	自动频率控制
afeared	害怕的
aff	阿夫
affability	和蔼
affable	亲切
affably	亲切地
affair	事件
affairs	事务
affect	影响
affectation	做作
affectations	做作
affected	做作的
affecting	动人的
affectingly	动人地
affection	喜爱
affectional	情感的
affectionate	深情的
affectionately	深情地
affections	感情
affective	情感的
affects	影响
affenpinscher	猴面犬
afferent	传入的
affettuoso	深情的
affiance	订婚
affianced	已订婚的
affiant	宣誓人
affidavit	宣誓书
affidavits	宣誓书
affiliate	附属
affiliated	附属的
affiliates	附属机构
affiliating	附属
affiliation	隶属
affiliations	隶属关系
affinities	亲和力
affinity	亲和
affirm	确认
affirmable	可确认的
affirmance	确认
affirmation	肯定
affirmations	肯定
affirmative	肯定的
affirmatively	肯定地
affirmatory	肯定的
affirmed	确认的
affirming	确认
affirms	确认
affix	附加
affixed	附加的
affixes	附加物
affixing	附加
afflatus	灵感
afflict	折磨
afflicted	受折磨的
afflicting	折磨
affliction	苦难
afflictions	苦难
afflictive	痛苦的
afflicts	折磨
affluence	富裕
affluent	富裕的
afflux	涌入
afford	提供
affordable	实惠的
afforded	提供
affording	提供
affords	提供
afforest	造林
afforestation	造林
affray	斗殴
affreightment	租船
affricate	塞擦音
affricates	塞擦音
affright	惊吓
affront	冒犯
affronted	冒犯的
affronting	冒犯
affronts	冒犯
affusion	注水
afghan	阿富汗的
afghanistan	阿富汗
afghans	阿富汗人
aficionado	爱好者
afield	在野外
afire	燃烧的
aflame	燃烧的
afloat	漂浮的
aflutter	激动的
afoot	进行中的
afore	在之前
aforementioned	上述的
aforesaid	前述
aforethought	预谋
afoul	冲突
afraid	害怕
afreet	恶魔
afresh	重新
africa	非洲
african	非洲的
africanization	非洲化
africanizations	非洲化
africanize	使非洲化
africanized	非洲化的
africanizes	使非洲化
africanizing	使非洲化
africans	非洲人
afrikaans	南非荷兰语
afrikaner	南非白人
afrikaners	南非白人
afro	爆炸头
aft	船尾
after	之后
afterbirth	胎盘
afterburner	加力燃烧室
aftercare	术后护理
afterdeck	后甲板
aftereffect	后遗症
afterglow	余晖
afterheat	余热
afterimage	残像
afterlife	来世
afterlight	余晖
aftermarket	售后市场
aftermath	后果
aftermost	最后面的
afternoon	下午
afternoons	下午
afterpiece	余兴节目
afterpulse	后脉冲
aftershock	余震
aftershocks	余震
aftershokz	韶音
aftershokz aeropex	韶音aeropex
aftertast	回味
aftertaste	回味
afterthought	事后想法
afterthoughts	事后想法
afterward	之后
afterwards	之后
afterword	后记
ag	银
again	再次
against	反对
agama	鬣蜥
agamemnon	阿伽门农
agamogenesis	无性生殖
agape	大爱
agar	琼脂
agaric	伞菌
agate	玛瑙
agates	玛瑙
agatha	阿加莎
agave	龙舌兰
agaze	凝视
age	年龄
aged	年老的
agee	艾吉
ageing	老化
ageism	年龄歧视
ageless	永恒的
agelong	持久的
agencies	机构
agency	机构
agenda	议程
agendas	议程
agendum	议程
agent	代理人
agents	代理人
ager	老化者
ageratum	藿香蓟
agers	老化者
ages	年龄
aggie	阿吉
aggies	阿吉
agglomerate	团聚
agglomerated	团聚的
agglomerates	团聚物
agglomerating	团聚中
agglomeration	团聚
agglutinant	粘合剂
agglutinate	粘合
agglutinated	粘合的
agglutinates	粘合
agglutinating	粘合
agglutination	凝集
agglutinative	粘着
agglutinin	凝集素
agglutinins	凝集素
aggrandize	夸大
aggrandizement	夸大
aggravate	加重
aggravated	加重的
aggravates	加重
aggravating	加重的
aggravation	加重
aggregate	总计
aggregated	总计的
aggregately	总计地
aggregates	总计
aggregating	总计
aggregation	聚合
aggregations	聚合
aggregative	聚合的
aggregator	聚合器
aggress	攻击
aggression	侵略
aggressions	侵略
aggressive	侵略的
aggressively	侵略地
aggressiveness	侵略性
aggressor	侵略者
aggressors	侵略者
aggrieve	侵害
aggrieved	受害的
aggrieves	侵害
aggrieving	侵害中
aghast	惊骇的
artificial general intelligence	通用人工智能
agi	通用人工智能
agile	敏捷的
agilely	敏捷地
agility	敏捷
aging	老化
agism	年龄歧视
agitate	煽动
agitated	激动的
agitatedly	激动地
agitates	煽动
agitating	煽动中
agitation	激动
agitations	激动
agitato	激动地
agitator	煽动者
agitators	煽动者
agitprop	宣传鼓动
agleam	闪亮的
aglet	鞋带尖
agley	歪斜地
aglimmer	微光闪烁的
aglitter	闪闪发光的
aglow	发光的
agnes	艾格尼丝
agnew	阿格纽
agnostic	不可知论者
agnosticism	不可知论
agnostics	不可知论者
ago	以前
agog	渴望的
agon	竞赛
agonal	濒死的
agonic	无偏差的
agonies	痛苦
agonistic	好争论的
agonize	折磨
agonized	痛苦的
agonizes	折磨
agonizing	令人痛苦的
agonizingly	痛苦地
agony	极度痛苦
agora	广场
agoraphobia	广场恐惧症
agorot	阿高洛
agouti	刺豚鼠
agraffe	搭扣
agrarian	农业的
agravic	失重的
agree	同意
agreeable	宜人的
agreeably	愉快地
agreed	同意的
agreeing	同意
agreement	协议
agreements	协议
agreer	同意者
agreers	同意者
agrees	同意
agribusiness	农业综合企业
agricola	阿格里科拉
agricultural	农业的
agriculturalist	农学家
agriculturally	农业上
agriculture	农业
agrimony	龙牙草
agrology	农业土壤学
agronomic	农艺的
agronomist	农学家
agronomy	农学
aground	搁浅
ague	疟疾
agued	患疟疾的
aguilera	阿奎莱拉
aguish	疟疾的
agway	安伟
ah	啊
aha	啊哈
ahab	亚哈
ahead	向前
ahem	嗯
ahimsa	不害
ahmad	艾哈迈德
